
*                 FILE                 DATE               TARGET                 FOIL         PRESSURE_MAX         PRESSURE_MIN         PRESSURE_AVE         PRESSURE_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
                  4217           2020-02-03                    1                    4                  1.7                  1.6        1.68977272727      0.0303006627863
                  4219           2020-02-04                    1                    5                  1.7                  1.6        1.67048832272      0.0456095234816
                  4220           2020-02-04                    1                    5                  1.7                  1.6        1.64697674419      0.0499085155488
                  4221           2020-02-04                    1                    5                  1.7                  1.6        1.68903654485      0.0312433699548
                  4223           2020-02-05                    1                    5                  1.7                  1.6        1.69708496267      0.0168227907927
                  4224           2020-02-05                    1                    5                  1.7                  1.6        1.69936448598     0.00794654162521
                  4225           2020-02-05                    1                    5                  1.7                  1.7                  1.7    2.87991202066e-14
                  4227           2020-02-06                    1                    5                  1.7                  1.6        1.69988897113       0.003330249141
                  4228           2020-02-06                    1                    5                  1.8                  1.7        1.70052333188     0.00721521390585
                  4229           2020-02-06                    1                    5                  1.7                  1.6        1.69980314961     0.00443241348394
                  4231           2020-02-07                    1                    5                  1.8                  1.7         1.7396031746      0.0489071162682
                  4232           2020-02-07                    1                    5                  1.8                  1.7         1.7261053441      0.0439208995735
                  4233           2020-02-07                    1                    5                  1.8                  1.7        1.76251441753      0.0484085669468
                  4234           2020-02-09                    1                    1                  1.9                  1.8        1.89378640777      0.0241402256589
                  4235           2020-02-09                    1                    1                  2.1                  1.9        1.97478705281      0.0526446798793
                  4237           2020-02-10                    1                    1                  1.9                  1.7        1.79972462628     0.00594385077834
                  4238           2020-02-10                    1                    1                  2.2                  1.7         1.7943289225      0.0463198946647
                  4239           2020-02-10                    1                    1                  1.9                  1.6        1.72802973978      0.0453263983449
                  4241           2020-02-11                    1                    1                    3                  1.7        1.70581527936      0.0344419938592
                  4242           2020-02-11                    1                    1                  1.8                  1.7        1.70041425021     0.00642288233416
                  4243           2020-02-11                    1                    1                  1.8                  1.7        1.71018518519      0.0302453388353
                  4244           2020-02-11                    4                    1                    2                  1.9         1.9297029703      0.0456949733038
                  4245           2020-02-11                    4                    1                    2                  1.8        1.89802955665      0.0242332490172
                  4247           2020-02-12                    1                    1                  1.9                  1.7        1.79824918567      0.0137223440909
                  4248           2020-02-12                    1                    1                  1.8                  1.7        1.77740619902      0.0418198547966
                  4250           2020-02-12                    4                    1                  1.8                  1.7        1.77385024705      0.0439450306115
                  4251           2020-02-12                    1                    1                  1.8                  1.7        1.73799212598      0.0485366970613
                  4253           2020-02-13                    1                    1                  1.8                  1.7        1.77230883445      0.0447472446707
                  4254           2020-02-13                    1                    1                  1.8                  1.7        1.78815201192      0.0323175491995
                  4258           2020-02-13                    1                    3                  1.8                  1.7        1.78391070054      0.0367432223541
                  4260           2020-02-14                    1                    3                  1.8                  1.7        1.73308270677      0.0470510912697
                  4261           2020-02-14                    1                    3                  1.8                  1.7        1.73251473477      0.0468429877354
                  4262           2020-02-14                    1                    3                  1.8                  1.7        1.73328179358      0.0471221983168
                  4263           2020-02-14                    1                    3                  1.8                  1.7        1.70744985673      0.0262580522507
                  4264           2020-02-14                    4                    1                  1.8                  1.7        1.70565927655      0.0231062814746
                  4266           2020-02-17                    1                    3                  1.8                  1.7        1.79763636364      0.0151913415966
