
*                 FILE                 DATE               TARGET                 FOIL   COLL_CURRENT_L_MAX   COLL_CURRENT_L_MIN   COLL_CURRENT_L_AVE   COLL_CURRENT_L_STD   COLL_CURRENT_R_MAX   COLL_CURRENT_R_MIN   COLL_CURRENT_R_AVE   COLL_CURRENT_R_STD RELATIVE_COLL_CURRENT_L_MAX RELATIVE_COLL_CURRENT_L_MIN RELATIVE_COLL_CURRENT_L_AVE RELATIVE_COLL_CURRENT_L_STD RELATIVE_COLL_CURRENT_R_MAX RELATIVE_COLL_CURRENT_R_MIN RELATIVE_COLL_CURRENT_R_AVE RELATIVE_COLL_CURRENT_R_STD   TARGET_CURRENT_MAX   TARGET_CURRENT_MIN   TARGET_CURRENT_AVE   TARGET_CURRENT_STD     FOIL_CURRENT_MAX     FOIL_CURRENT_MIN     FOIL_CURRENT_AVE     FOIL_CURRENT_STD RELATIVE_TARGET_CURRENT_MAX RELATIVE_TARGET_CURRENT_MIN RELATIVE_TARGET_CURRENT_AVE RELATIVE_TARGET_CURRENT_STD EXTRACTION_LOSSES_MAX EXTRACTION_LOSSES_MIN EXTRACTION_LOSSES_AVE EXTRACTION_LOSSES_STD RELATIVE_COLL_CURRENT_MAX RELATIVE_COLL_CURRENT_MIN RELATIVE_COLL_CURRENT_AVE RELATIVE_COLL_CURRENT_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                  4126           2020-01-02                    1                    1                  5.5                  4.3          4.855749377       0.241339597979                  6.8                    5        5.91132075472       0.372420522007        4.95942290352        3.89140271493        4.38580413631        0.21524459112        6.10961365678        4.55788514129        5.33885920996        0.32778084144                101.5                 98.2        99.9512637949       0.502637406326                112.7                108.6        110.713563546       0.614907145062        91.2568306011        89.1089108911        90.2800058253        0.33050386359        1.34892086331       -1.00182149362     -0.0046691715613       0.296341216487        10.3324348607        8.96614821592        9.72466334626       0.186448659737
                  4127           2020-01-02                    1                    1                  7.6                  6.4        6.97406985573       0.224013039222                  5.8                  4.6        5.21032649962       0.213442620317        6.64335664336        5.76057605761        6.20502346001       0.168846888009        5.06550218341        4.13669064748        4.63558106664       0.167699864728                101.4                 95.8        99.9393318147       0.496840902408                114.7                107.5        112.380485953       0.800065719107        90.2262443439        87.6424189308        88.9315249687        0.40769908705        1.05726872247      -0.630630630631       0.227870504649       0.279247966766        11.5418502203        10.0090171326        10.8406045267       0.292625504114
                  4128           2020-01-02                    1                    1                  5.8                    5        5.49157808667       0.155001791704                  4.8                  3.7        4.02951757972       0.139102412233        6.50953984287        5.61167227834        6.11945121663       0.158366181637        5.41760722348        4.17607223476         4.4903578316       0.150525977831                   81                 78.6        79.8821749796       0.383310252186                   91                 88.2         89.735159444       0.475334494187        90.1916572717        87.7618522602        89.0209664483       0.380529289013         1.5503875969      -0.901916572717       0.369224503465       0.351871866315         11.273957159        9.98877665544        10.6098090482       0.221973297438
                  4130           2020-01-03                    1                    1                  6.7                  5.3        5.98615548456       0.260566587191                  6.5                    5        5.82413915513       0.191604529865        5.96085409253        4.78339350181         5.3443550044       0.220885660483        5.76241134752        4.53309156845        5.20007037392        0.16720247384                101.4                 95.3        100.023074192       0.476490311029                113.6                106.6        112.000106496       0.616852997797        90.4545454545        88.3658969805        89.3070629453       0.295935892602       0.976909413854      -0.716845878136       0.148511676389       0.286676050838        10.9333333333        9.63636363636        10.5444253783       0.158626558739
                  4131           2020-01-03                    1                    1                  7.9                  6.3        7.05243030736          0.285695716                  5.8                  4.6        5.30421729807       0.223407105457         6.9176882662        5.66037735849        6.25588996491       0.228246081653        5.07880910683          4.114490161        4.70507041896       0.179206716019                101.3                 98.4        99.9587205147       0.491246543345                114.9                110.5        112.717798427       0.733160644883        90.1357466063        87.3140857393        88.6822936649       0.416239760534        1.24003542958      -0.448028673835        0.35674595127        0.27747546808         11.996497373         10.071942446        10.9609603839       0.344673683981
                  4132           2020-01-03                    1                    2                  4.6                    4        4.30223175966       0.138024683446                  3.9                  2.9        3.40386266094       0.169302071572        5.30565167243        4.55580865604         4.9332203514        0.15592819931         4.4167610419        3.34872979215        3.90270300334       0.184964211386                 81.2                 78.2        79.8870386266       0.396610405762                 88.6                 85.3        87.2093562232       0.466700607238        92.8240740741        90.5466970387        91.6046879419       0.372484715158       0.459770114943       -1.49597238205      -0.440611296604       0.367921476702        9.36073059361        8.41983852364        8.83592335474        0.16246293989
                  4134           2020-01-06                    1                    2                  5.3                  4.3        4.69534246575       0.194799887629                  4.9                  3.5         4.0718590998       0.206514897399        4.89833641405        3.94495412844         4.3426281346       0.179860028417        4.50781968721        3.23475046211        3.76590873047       0.189227652801                101.3                 98.1        99.8311545988        0.39281217729                109.5                106.7        108.122661448       0.413186700385        93.5064935065        90.9174311927        92.3318733006       0.311385987774       0.555041628122       -1.66975881262      -0.440410165633       0.297868484718        8.82079851439        7.91896869245        8.10853686506       0.128931286805
                  4135           2020-01-06                    1                    2                  5.7                    5        5.34358186011        0.14163563187                    5                  3.7        4.37009992314       0.163848055374        5.29247910864        4.58295142071         4.8963040452       0.123909709863         4.5871559633        3.42275670675        4.00418979027       0.143819126391                101.8                 96.9        99.9257878555       0.482092716953                110.7                106.3        109.133205227       0.591117659846        92.5650557621        90.6193078324         91.563892328         0.2952845853       0.547445255474       -1.48148148148       -0.46438616344       0.289803808206        9.54128440367        8.32562442183        8.90049383546       0.139694216233
                  4136           2020-01-06                    1                    2                  6.4                  5.3        5.81451335056       0.183914863564                  5.1                  3.9         4.4060292851       0.187434272153        5.81289736603        4.87132352941        5.29838889968       0.147571703259        4.69181232751        3.60443622921        4.01497670279       0.161220913884                101.6                 98.2         99.939707149       0.503475860197                111.8                107.5        109.730921619       0.691526114338        92.2934076137        89.9547511312          91.07843749       0.360958774233       0.457875457875       -1.47058823529      -0.391803092419        0.27275494071                   10        8.65561694291        9.31336560246       0.234125969107
                  4138           2020-01-07                    1                    2                  6.2                  5.1         5.6663703131       0.196720519988                  5.1                  3.8        4.44503285659       0.176097444876        5.70377184913        4.70479704797         5.1647666243       0.172164092292         4.6279491833        3.51201478743         4.0515277758       0.155063094377                101.5                   98        99.9886741399       0.492235087777                111.4                107.5        109.708388094        0.60224036644        92.0664206642        90.1713255185        91.1411746461       0.300644997686       0.635208711434       -1.38376383764      -0.357469046221       0.286080292897         9.7966728281        8.39483394834         9.2162944001       0.139623668573
