
*                 FILE                 DATE               TARGET                 FOIL          CURRENT_MAX          CURRENT_MIN          CURRENT_AVE          CURRENT_STD          VOLTAGE_MAX          VOLTAGE_MIN          VOLTAGE_AVE          VOLTAGE_STD                HFLOW            RATIO_MAX            RATIO_MIN            RATIO_AVE            RATIO_STD SOURCE_PERFORMANCE_AVE SOURCE_PERFORMANCE_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                  4320           2020-03-04                    1                    4                  474                  420        462.709433962        8.49164437597                  495                  461         468.18490566         4.6215000516                  4.5         4.7975708502        4.30327868852        4.63778304079      0.0812316904049       0.246666666667                    0
                  4321           2020-03-04                    1                    4                  560                  412        529.496967535          22.90878097                  500                  424        438.468783446        9.70058382948                  4.5        5.64646464646        4.22131147541        5.29301468205       0.220417402255       0.173863636364                    0
                  4322           2020-03-04                    1                    4                  667                  410         594.75553013        49.2571448771                  503                  392        415.966819222        18.2427912606                  4.5        6.71717171717        4.19222903885        5.96009480791       0.486327346614       0.201351351351                    0
                  4323           2020-03-04                    1                    4                  582                  373        543.252704791        29.2567164977                  531                  418        434.838485317        12.4276342196                  4.5        5.87878787879         4.0899122807        5.44859470511       0.288272377253       0.197297297297                    0
                  4325           2020-03-05                    1                    4                  537                  403        501.345917886         26.414593352                  508                  433        450.884851345        12.4140443181                  4.5        5.41961577351        4.12065439673        5.01259843405        0.25519001576       0.214084507042                    0
                  4326           2020-03-05                    1                    4                  675                  396        583.935185185        58.4829071496                  515                  389        420.219135802        21.8986471028                  4.5        6.82877406282         4.0824742268        5.85763669983       0.584787468388                  0.2                    0
                  4327           2020-03-05                    1                    4                  722                  420        640.959613197        56.6976800591                  496                  377        401.990898749         18.511071225                  4.5        7.28008088979        4.56026058632        6.42863830346       0.558066848649       0.187654320988                    0
                  4329           2020-03-06                    1                    4                  567                  372         522.57193159        34.3880295503                  530                  423        441.878269618        15.4369383303                  4.5        5.70131180626        3.96166134185        5.22871981738       0.331891153407       0.202777777778                    0
                  4330           2020-03-06                    1                    4                  693                  415        583.228560341        57.8650309558                  500                  385        420.601086535         21.008340611                  4.5        6.99293642785        4.26078028747        5.85277329384       0.577680804774                0.192                    0
                  4331           2020-03-06                    1                    4                  759                  431        665.919243986        69.7580896597                  490                  369        395.589347079        21.8047747676                  4.5        7.65182186235        4.49895615866        6.67577869792       0.687636707803       0.186746987952                    0
                  4332           2020-03-06                    1                    4                  733                  434        655.966035271        50.1230897291                  496                  376        397.780535598         15.247881286                  4.5         7.4062816616        4.69189189189        6.59059441657       0.499268118055       0.195945945946                    0
                  4333           2020-03-08                    1                    1                  393                  344        379.541666667        9.73634990656                  546                  502        513.377192982        7.35668970045                  4.5        3.95748987854        3.57707509881        3.79298337997      0.0999479547133       0.355813953488                    0
                  4335           2020-03-09                    1                    1                  438                  292        392.258787177        34.6640702258                  603                  480        510.794515257        23.8189115892                  4.5        4.41532258065        2.94651866801        3.92889246714       0.340062487981       0.211428571429                    0
                  4336           2020-03-09                    1                    1                  452                  312        421.980039139        22.9145778807                  585                  476        493.762426614        14.2484907424                  4.5        4.56104944501        3.39869281046        4.22665279628       0.225543929255       0.222388059701                    0
                  4337           2020-03-09                    1                    1                  477                  347        447.244508671        22.7140502065                  550                  462        480.224855491        13.4082092707                  4.5        4.79271991911        3.53360488798        4.48412048143       0.223288043799       0.222058823529                    0
                  4339           2020-03-10                    1                    1                  438                  358        421.783513405        12.1043859309                  540                  483        493.578231293        7.41491569088                  4.5        4.40968718466         3.6546184739        4.21608566822       0.117604470574       0.218461538462                    0
                  4340           2020-03-10                    1                    1                  523                  387        480.944017094        24.7607497698                  520                  442        463.036324786         12.441657219                  4.5        5.25783619818         3.9979338843        4.81201511776       0.243901022027        0.21884057971                    0
                  4343           2020-03-11                    1                    1                  476                  371        456.936998395        12.8785397158                  533                  464        474.457463884        6.91772594513                  4.5        4.81218274112        3.95101171459        4.56545406586       0.123677256025                  0.2                    0
                  4344           2020-03-11                    1                    1                  575                  384        515.538522954        38.5478137528                  522                  423        448.398403194        17.8709991948                  4.5        5.80384226491        3.88663967611        5.16237402059       0.378360641633       0.198648648649                    0
                  4345           2020-03-11                    1                    1                  566                  416        529.216302368        27.1877726218                  502                  426        442.852459016        11.9444714925                  4.5        5.72295247725        4.34237995825        5.29527320951       0.265630690844       0.198648648649                    0
                  4347           2020-03-12                    1                    1                  498                  364         472.43506006        22.8250524653                  534                  452        467.196696697        12.1495456935                  4.5        5.02522704339        3.76811594203        4.72152771495       0.219605522555       0.219402985075                    0
                  4348           2020-03-12                    1                    2                  524                  389         491.46329588        25.0990688981                  518                  443        459.407490637        12.4692077692                  4.5        5.30964467005         4.0061791967        4.91600529144       0.245893828497       0.208219178082                    0
                  4349           2020-03-12                    1                    2                  569                  380        530.860585836         28.405817425                  528                  427        443.103819058        12.5399314829                  4.5        5.76494427558        4.10367170626        5.31020761459       0.275961287124       0.187654320988                    0
                  4351           2020-03-13                    1                    2                  506                  364        470.485058309         25.026453842                  537                  451        469.308673469        13.1210382549                  4.5        5.10616784631        3.77985462098        4.70441320469       0.246012742948       0.215942028986                    0
                  4352           2020-03-13                    1                    2                  604                  406        539.112903226        39.4161488383                  508                  414        439.972618155        16.9392919074                  4.5         6.1094224924        4.10515672396        5.39536908235       0.390091699653       0.188043478261                    0
                  4353           2020-03-13                    1                    2                  563                  403        526.801619433        25.7999483891                  512                  429        445.212261423        11.5455969854                  4.5        5.67540322581        4.20229405631        5.27415939742       0.251494787651       0.194736842105                    0
                  4354           2020-03-13                    1                    2                  387                  317        374.219543147        10.4251635147                  591                  521        530.972081218        8.32656639025                  4.5        4.87373737374        4.10090556274        4.68616834158       0.123280035723       0.202816901408                    0
                  4356           2020-03-16                    1                    2                  451                  335        426.781216265        21.1521245073                  561                  477        491.141417776        12.7000639329                  4.5        4.55555555556        3.42185903984        4.26845519089       0.202891853949       0.190243902439                    0
                  4357           2020-03-16                    1                    2                  596                  365        521.352268395        41.8132410026                  537                  416        446.137628669        19.1226085525                  4.5        6.00806451613         3.7784679089        5.21922881782        0.40842028866       0.204054054054                    0
                  4358           2020-03-16                    1                    2                  457                  367                439.4        14.4081766909                  540                  476        486.611111111         9.3555621536                  4.5        4.60606060606        3.95474137931        4.42367032584       0.127286190564       0.201408450704                    0
                  4361           2020-03-17                    1                    2                  533                  351        479.243217961        40.5319950457                  549                  440        465.648269411        20.8791289458                  4.5        5.42769857434        3.78640776699        4.90810188101       0.347855688257       0.193670886076                    0
                  4362           2020-03-17                    1                    2                  542                  420        478.285714286        28.3618285899                  499                  437        467.010204082        13.6393001331                  4.5        5.46370967742        4.50160771704         4.9946803888       0.210454654003       0.173863636364                    0
                  4363           2020-03-17                    1                    2                  430                  345        404.307898773        15.8477920953                  556                  495        510.689033742         10.581026948                  4.5        5.39722572509        4.37655860349        5.06159854271        0.19450338533       0.202777777778                    0
                  4364           2020-03-17                    1                    3                  389                  312        372.953349282        12.3801034918                  590                  520        533.336124402        9.73110665106                  4.5        4.90518331226        4.16876574307         4.6716446034       0.146617441127       0.208571428571                    0
                  4365           2020-03-18                    1                    3                  460                  414        454.343283582        5.18048069805                  505                  473        477.447761194        3.36258421451                  4.5        4.63709677419        4.35331230284        4.55823934746      0.0387164221919       0.267272727273                    0
                  4366           2020-03-18                    1                    3                  526                  391        498.162402274        18.8312445662                  522                  442        457.054726368         8.8717781651                  4.5        5.37832310838         4.0350877193        4.97581778117       0.180835999851       0.176744186047                    0
                  4367           2020-03-18                    1                    3                  408                  336        390.109049774        11.6232860169                  565                  508        521.081447964        8.08079504641                  4.5        5.11979823455        4.36931079324        4.88367169048        0.14259676265       0.202739726027                    0
                  4368           2020-03-18                    4                    1                  523                  391         489.48702218        20.7474691635                  522                  448        464.009438414        10.3151338996                  4.5        5.26794742164        4.06022845275        4.89740446811       0.200662238028       0.194520547945                    0
                  4370           2020-03-19                    1                    3                  557                  378        504.794360902         39.697950343                  528                  432        455.461278195        18.9215735136                  4.5        5.62058526741        3.88090349076        5.05086566919       0.386484339461       0.221212121212                    0
                  4371           2020-03-19                    1                    3                  678                  411        586.341929747        57.8880954471                  509                  394        424.081369498        21.7285909043                  4.5        6.86612576065        4.25906735751        5.88219993259       0.576915639948       0.201388888889                    0
                  4372           2020-03-19                    1                    3                  647                  454        593.824289406        37.2046758177                  481                  402        421.284237726        13.5340258205                  4.5        6.50201612903        4.72916666667        5.95993675169       0.359784468698        0.19358974359                    0
                  4374           2020-03-20                    1                    3                  597                  391        532.282884903        45.1658745544                  521                  417        444.141629297        19.5286892028                  4.5         6.0101010101        4.04761904762        5.33019888153       0.441674158504       0.220895522388                    0
                  4375           2020-03-20                    1                    3                  673                  446        587.264202601        45.4401097202                  489                  395        423.867214237        16.5401682587                  4.5        6.80203045685        4.61697722567        5.89432597809       0.455650642629       0.197297297297                    0
                  4376           2020-03-20                    1                    3                  594                  445        557.904494382        27.6164924268                  493                  420        434.741573034        11.6407151503                  4.5        6.00810536981        4.66946484785        5.62170858739       0.267868197943       0.179761904762                    0
                  4377           2020-03-20                    1                    3                  541                  394        493.375156838        25.0783672119                  521                  443         463.40966123        12.3456465289                  4.5        6.09234234234         4.6682464455        5.49622570484        0.27309904202       0.194736842105                    0
                  4378           2020-03-21                    1                    1                  336                  300        324.076923077        9.68314585295                  597                  555        568.461538462        11.4865498912                  4.5        3.37701612903        3.08959835221        3.27413193678      0.0815125326094       0.384210526316                    0
                  4380           2020-03-22                    1                    1                  331                  301        324.882758621        5.09970039455                  593                  561                567.6        5.29202392676                  4.5        3.34343434343        3.04655870445        3.25588349298       0.048729572347       0.363414634146                    0
                  4382           2020-03-23                    1                    1                  399                  266         373.10035461        24.2578685022                  640                  511        530.770567376        18.5412187651                  4.5        4.02217741935        2.70875763747        3.73328691007       0.236645257971        0.20985915493                    0
                  4383           2020-03-23                    1                    1                  452                  319        417.433933934        25.1968553824                  587                  481        503.702702703        16.1872551698                  4.5        4.66386554622        3.27179487179        4.18275317666       0.249877140594       0.233333333333                    0
                  4384           2020-03-23                    4                    1                  452                  342        428.670726403        15.9170826118                  562                  484        497.775989561        9.84953426286                  4.5        4.54913880446        3.61140443506        4.28544563623       0.153699820972       0.214925373134                    0
                  4386           2020-03-24                    1                    1                  451                  356        423.771860381        15.1957286413                  547                  484        499.906081324        9.03343290896                  4.5        4.52525252525        3.64008179959        4.23706040782       0.143574690396       0.178823529412                    0
                  4387           2020-03-24                    1                    1                  524                  359        476.909156714        31.1434528814                  553                  449        472.547955121        16.5803453618                  4.5        5.28816986855        3.63360323887        4.77779250512       0.308215471144       0.202857142857                    0
                  4389           2020-03-25                    1                    1                  513                  367        464.383488206        26.0731192463                  541                  452        477.388134382         13.908828094                  4.5        5.16649848638        3.78740970072        4.64195647809       0.251701046546       0.177906976744                    0
                  4390           2020-03-25                    1                    1                  595                  371        535.067855589        34.6994892149                  541                  421        446.135711179        15.4848233957                  4.5         6.0101010101        3.95944503735        5.39836298462       0.349300186582       0.185542168675                    0
                  4394           2020-03-26                    4                    1                  413                  376        408.896039604         5.7112087256                  536                  503        508.995049505        4.17263305141                  4.5        4.17004048583         3.9248434238        4.09707653155      0.0484392453031       0.250877192982                    0
                  4395           2020-03-26                    4                    1                  458                  363         437.02173913        16.7815794576                  544                  481        493.662508909         9.6433439562                  4.5        4.60685483871                 3.75        4.37185305611       0.162061303857       0.179069767442                    0
                  4396           2020-03-26                    4                    1                  481                  365        460.184526456        18.0463611927                  550                  471        482.889284126        10.0786024158                  4.5        4.83870967742        3.75128468654        4.60285932534       0.173686011358       0.187804878049                    0
                  4398           2020-03-27                    4                    1                  474                  366        440.697506325        24.0328787318                  544                  474        493.084929527        13.5910778994                  4.5         4.7975708502        3.74616171955        4.41479819318       0.240268244531        0.18023255814                    0
                  4399           2020-03-27                    4                    1                  507                  347        473.754062363        20.3173361435                  563                  459        476.830917874        10.8974519547                  4.5        5.10204081633        3.73519913886        4.74729511109       0.197656364743       0.218518518519                    0
                  4404           2020-03-30                    4                    1                  471                  337        439.025291829        21.0389980309                  575                  476        494.194552529        12.4079603502                  4.5        4.75708502024        3.63930885529        4.39448190919       0.208575018298       0.202777777778                    0
                  4405           2020-03-30                    4                    1                  356                  310        345.981927711        7.66455846901                  600                  552        561.226506024         6.6685213465                  4.5        4.47798742138        3.99484536082        4.32901377218      0.0899517120344       0.217142857143                    0
                  4407           2020-03-31                    4                    1                  484                  328        442.792110874        22.2219324167                  594                  470        492.259061834        12.5604458056                  4.5        4.88888888889        3.53829557713        4.43236137518       0.217687275413       0.183529411765                    0
                  4408           2020-03-31                    4                    1                  552                  384        502.633986928        31.8288480663                  534                  440        463.492118416         15.364669955                  4.5         5.5421686747        3.94655704008         5.0356422171       0.316494384698       0.194871794872                    0
                  4409           2020-03-31                    4                    2                  408                  390                  402        5.26443593505                  530                  517        520.857142857        3.94347821195                  4.5        4.11290322581                    4        4.05874371086      0.0349254066015                  0.2                    0
                  4411           2020-04-01                    4                    2                  512                  380        458.695590829        27.1621708546                  534                  457        485.434567901        14.2108413336                  4.5        5.18781725888        3.86178861789        4.59388487066        0.27660188113        0.18313253012                    0
                  4412           2020-04-01                    4                    2                  555                  373        514.399848255        28.6010478703                  544                  440        459.213581184        13.6054688888                  4.5        5.61546286877        4.02373247033        5.15486611133       0.281617597557       0.194871794872                    0
                  4413           2020-04-01                    4                    2                  478                  417        466.501392758        11.0198288365                  517                  476         483.08356546        6.08836806769                  4.5         4.8136958711        4.25944841675        4.68416467177       0.100993686796       0.197402597403                    0
                  4415           2020-04-02                    4                    2                  505                  385        463.746815901        19.8846336025                  533                  461        483.146275569        10.7109231887                  4.5        5.10638297872         3.9896373057        4.64495046492       0.195666706214                  0.2                    0
                  4416           2020-04-02                    4                    2                  555                  411         510.06511254        31.3503658482                  517                  440        461.669212219        14.7411312055                  4.5        5.58912386707        4.21971252567        5.11316972146       0.308931654487       0.193670886076                    0
                  4417           2020-04-02                    4                    2                  530                  388         497.99677159        25.1656335075                  533                  451        467.855528652        12.6132365626                  4.5        5.35894843276        4.07991587802        4.99041002924       0.240537754365       0.194936708861                    0
                  4419           2020-04-03                    4                    2                  545                  364        490.106331169        37.5889321085                  558                  443        470.693587662        18.5921238505                  4.5        5.51829268293        3.94366197183        4.91250312526        0.37013455103       0.202777777778                    0
                  4420           2020-04-03                    4                    2                  750                  422        582.528376595        70.9002273875                  512                  382         434.39375275        25.4273686023                  4.5        7.56048387097        4.45617740232        5.84174709112       0.706955373132       0.189873417722                    0
                  4422           2020-04-06                    1                    1                  433                  347        400.856630824        15.7770758981                  561                  496        517.246117085        9.79169544756                  4.5        4.39024390244        3.59213250518          4.011428523       0.163070436471       0.243333333333                    0
                  4424           2020-04-06                    4                    2                  666                  378        541.323717949        61.1736783645                  539                  402        448.483262108        25.7021705639                  4.5        6.73758865248         3.9170984456        5.42454101315       0.610846623214       0.191358024691                    0
                  4427           2020-04-07                    1                    3                  457                  360          438.6739898        13.3240401276                  558                  486        496.879952923        7.43970837651                  4.5        4.64248704663        3.79346680717        4.38456579469       0.127193200977       0.188888888889                    0
                  4428           2020-04-07                    1                    3                  542                  389        505.289454277        28.9461774112                  537                  446        464.490412979        13.9129159281                  4.5        5.48057259714        4.03526970954        5.06175336618       0.282733129684       0.198666666667                    0
                  4429           2020-04-07                    1                    3                  533                  408        508.271711092        20.5866484396                  520                  452        464.202063629        9.69383042342                  4.5        5.39007092199         4.1975308642         5.0908733562       0.202171488273       0.184337349398                    0
                  4440           2020-04-10                    1                    1                  501                  445        482.285714286        11.0569448621                  454                  426         434.80148423        5.00903799336                  4.5        5.06072874494        4.51776649746        4.83409275217       0.112086975377       0.277358490566                    0
                  4442           2020-04-14                    1                    1                  497                  325        458.986438258        29.9842421419                  534                  429        444.551748751         14.008600861                  4.5        5.02527805865         3.4983853606        4.60098870853       0.296322339109       0.248333333333                    0
                  4443           2020-04-14                    1                    1                  510                  397        491.394072448        17.5561676013                  490                  424        433.220636663        7.89048615189                  4.5        5.14141414141        4.22340425532        4.92486221786       0.166737583854       0.247540983607                    0
                  4446           2020-04-15                    1                    1                  532                  397        504.348728965        16.2290746373                  484                  414        426.836018618        6.83090470217                  4.5        5.39086294416        4.30119176598        5.04745659747       0.158600504522       0.220895522388                    0
                  4447           2020-04-15                    1                    1                  563                  447         539.51540957         19.010774194                  455                  404        413.409570154        7.53290521963                  4.5        5.68389057751        4.62254395036        5.40298361581       0.183794616478       0.240322580645                    0
                  4448           2020-04-15                    1                    1                  567                  479        549.089246525        15.1278170924                  439                  401        409.441111924        5.95084777605                  4.5        5.73022312373        4.90778688525        5.49882244682       0.146390956556       0.245161290323                    0
                  4450           2020-04-16                    1                    1                  538                  406        516.301753077         17.760759165                  477                  408        418.463632973        7.36587654949                  4.5        5.44715447154        4.23357664234         5.1702820188       0.174039491567       0.247457627119                    0
                  4451           2020-04-16                    1                    1                  566                  466        551.350690335        14.7731997377                  442                  399        406.397238659        5.55946802155                  4.5        5.71428571429        4.85416666667        5.51851730578       0.143295484823              0.23125                    0
                  4452           2020-04-16                    1                    1                  576                  480                561.1        10.6894204202                  439                  398         404.91971831        3.99854855304                  4.5        5.81231079717        5.03144654088        5.61261202438       0.100266290996        0.23064516129                    0
                  4454           2020-04-17                    1                    1                  540                  422         519.57326284        19.3672156861                  465                  411        419.202039275        7.87853668217                  4.5        5.45454545455        4.35051546392        5.20118143232       0.189265538699       0.249180327869                    0
                  4455           2020-04-17                    1                    1                  579                  443        551.257197697        19.9717043365                  457                  398         408.82840691        7.39907910151                  4.5        5.83249243189        4.60020768432        5.51978372431       0.191543790202       0.235384615385                    0
                  4456           2020-04-17                    1                    2                  552                  446        526.578644501        13.6184142376                  458                  410        419.531329923        5.38715109799                  4.5        5.54425228891        4.74468085106        5.27049886097       0.128548687657       0.235483870968                    0
                  4458           2020-04-20                    4                    1                  466                  358        439.336068498        21.7394934127                  509                  440        454.853014627        11.2493459916                  4.5        4.70171890799        3.65679264556        4.39941138553       0.215376229922                0.225                    0
                  4459           2020-04-20                    4                    1                  477                  370        455.067264574        12.7743128543                  500                  437        449.062032885        6.10195215342                  4.5        4.81818181818        3.94456289979        4.55415595193       0.122746342564            0.2328125                    0
                  4460           2020-04-20                    4                    1                  318                  289        312.311806256        4.05358306785                  568                  539        545.123612513        3.40909886374                  4.5        4.59420289855        4.21203438395         4.4635716033      0.0587398523986       0.248333333333                    0
                  4462           2020-04-21                    4                    1                  472                  342        437.283954961        17.1473911117                  522                  440        458.827234342        8.60093795644                  4.5        4.74696356275        3.66559485531        4.38001462182       0.171197089786       0.211111111111                    0
                  4463           2020-04-21                    4                    1                  491                  373        460.996992481        12.2147448174                  503                  435        448.669548872        5.82283983175                  4.5         4.9545913219        3.97654584222        4.61415145594       0.116794018071       0.220588235294                    0
                  4465           2020-04-22                    4                    1                  479                  352        443.452282158        22.4619735136                  514                  439        456.262102351        11.1940220415                  4.5        4.83316481294        3.65524402908        4.43968055594       0.223204417118       0.211267605634                    0
                  4466           2020-04-22                    4                    1                  484                  372        463.495327103        16.9212877218                  500                  436         447.74728972        8.33663613217                  4.5         4.8839556004        3.83110195675        4.63882975928       0.163534846357       0.237096774194                    0
                  4468           2020-04-23                    4                    1                  485                  359        437.167296073        23.3522617716                  508                  436        459.793429003        11.9997168532                  4.5        4.88911290323        3.68205128205        4.38211982942       0.234694046294       0.253448275862                    0
                  4469           2020-04-23                    4                    1                  507                  361        470.630658045        19.4717062581                  517                  427         444.53784709        9.24151835738                  4.5        5.11111111111         3.8900862069        4.71181461003       0.190323483534       0.240322580645                    0
                  4471           2020-04-24                    4                    1                  554                  353        463.096421846        42.4241399675                  514                  407          447.6173258        19.2660938962                  4.5        5.59031281534        3.67325702393        4.64219911753       0.425974158332       0.251724137931                    0
                  4472           2020-04-24                    4                    2                  470                  346        446.329334365        17.3124037977                  521                  445         456.26006192        9.11224379574                  4.5        4.73737373737        3.63064008395        4.46690648403       0.167929560728       0.249180327869                    0
                  4474           2020-04-27                    1                    2                  405                  284        377.359257938        16.5021239647                  581                  473        492.394220478        10.8920592882                  4.5        4.07258064516        3.09705561614        3.77694738543       0.164764630575       0.268421052632                    0
                  4475           2020-04-27                    1                    2                  415                  311        400.240430622        13.0623584191                  566                  468        479.222488038        8.39989015257                  4.5        4.19452887538        3.37310195228        4.01201836544       0.122129326432                0.255                    0
                  4476           2020-04-27                    1                    2                  446                  366         429.54048583        13.2652089997                  506                  455        464.261538462        7.16873119491                  4.5        4.49596774194        3.71196754564        4.30055557511       0.129365962076       0.264912280702                    0
                  4478           2020-04-28                    1                    2                  437                  332        415.142955091        14.8254775626                  534                  458        471.302022626        8.28260933752                  4.5        4.39838220425        3.55841371919        4.15419009965       0.145343552039       0.233333333333                    0
                  4479           2020-04-28                    1                    2                  464                  338        446.378707224        14.8075462162                  533                  446        456.084030418        7.75603357133                  4.5        4.68623481781        3.68191721133        4.46791883995       0.143922297027       0.236923076923                    0
                  4480           2020-04-28                    1                    2                  461                  369        443.613076923        15.6629493659                  508                  448        457.842307692        8.38224648964                  4.5        4.64249748238        3.78850102669        4.44316372567        0.15151155771       0.246666666667                    0
                  4482           2020-04-29                    1                    2                  445                  333        424.307612457        14.6688655591                  530                  454        466.319377163        7.91783530234                  4.5        4.48588709677        3.61563517915        4.24523664422       0.145731171025       0.226153846154                    0
                  4483           2020-04-29                    1                    2                  477                  369        455.625331816        17.6162031526                  502                  440        451.714448237        8.87156022253                  4.5        4.81818181818                 3.79        4.56325137731       0.171854237425       0.244262295082                    0
                  4484           2020-04-29                    1                    2                  490                  370        463.290040377        15.0822775455                  506                  435        448.541722746         7.5309551044                  4.5        4.92886178862         3.9029535865        4.64192546845       0.142804759541       0.246666666667                    0
                  4490           2020-05-04                    4                    2                  396                  279        362.463040446        19.7458492918                  583                  480        503.212343096        14.3017598845                  4.5        3.97578203835        2.90322580645        3.62845250627       0.195079526074       0.281132075472                    0
                  4491           2020-05-04                    4                    2                  418                  325        397.120093276        14.8030980043                  537                  468        481.649047804        9.02891004185                  4.5        4.19939577039         3.2928064843        3.97433108244       0.143313678504            0.2390625                    0
                  4494           2020-05-05                    4                    2                  428                  323        401.528242678        15.1029557401                  536                  462        479.092050209        9.07933610201                  4.5        4.31174089069        3.28920570265        4.02035437773       0.148264203958       0.246774193548                    0
                  4495           2020-05-05                    4                    2                  439                  344        420.318181818        15.4901572765                  521                  458        469.603030303        8.86809859189                  4.5        4.41977800202        3.51020408163        4.20924020715       0.150859832834       0.247457627119                    0
