
*                 FILE                 DATE               TARGET                 FOIL          CURRENT_MAX          CURRENT_MIN          CURRENT_AVE          CURRENT_STD          VOLTAGE_MAX          VOLTAGE_MIN          VOLTAGE_AVE          VOLTAGE_STD                HFLOW            RATIO_MAX            RATIO_MIN            RATIO_AVE            RATIO_STD SOURCE_PERFORMANCE_AVE SOURCE_PERFORMANCE_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                  4172           2020-01-17                    4                    3                  531                  397        512.537124803        17.2195520095                  471                  402        411.688256977        7.31202736213                  4.5        5.35894843276        4.34354485777        5.13267632077       0.166664160515       0.201369863014                    0
                  4174           2020-01-20                    4                    3                  485                  366        453.082020057        21.8780828152                  487                  418        434.241404011        10.3142127595                  4.5        4.88888888889        3.77708978328        4.53427005835        0.21520050721       0.191025641026                    0
                  4175           2020-01-20                    4                    4                  437                  340        421.793814433        14.6232829271                  506                  443        451.863402062        8.20777501842                  4.5        4.41505595117        3.44478216819        4.22075390829       0.140372736298       0.201369863014                    0
                  4176           2020-01-20                    4                    4                  455                  330        434.717317487        14.8350828487                  525                  435        445.956281834        8.17675327712                  4.5        4.57575757576        3.50690754516        4.35025551569       0.142261297794                  0.2                    0
                  4177           2020-01-20                    4                    4                  350                  290        339.034037559        11.0082135847                  550                  496         506.84741784        8.95687138323                  4.5        4.40656565657        3.69426751592        4.24516664033       0.131514316632       0.201351351351                    0
                  4179           2020-01-21                    4                    4                  448                  368        430.806028369        12.6407381719                  486                  437        447.721276596        6.57426002104                  4.5        4.51612903226        3.74745417515        4.30990832272       0.120747329502       0.174418604651                    0
                  4181           2020-01-21                    4                    4                  462                  401        450.320261438        11.4086617677                  468                  432        439.496732026        5.84049888527                  4.5        4.66195761857        4.12127440904        4.50913443411       0.105736605219       0.211594202899                    0
                  4183           2020-01-22                    4                    4                  470                  378         443.00684438        10.8707839878                  481                  429        441.807636888        5.36631068623                  4.5        4.73205257836        3.94160583942        4.42955236944       0.106001658272       0.175862068966                    0
                  4184           2020-01-22                    4                    4                  471                  378        457.409345794        11.8800982776                  480                  429        436.123738318        5.87094994994                  4.5        4.73205257836               3.9375         4.5753839624        0.11339052159       0.209722222222                    0
                  4185           2020-01-22                    4                    4                  470                  364        455.873357228        13.3615103644                  492                  429        437.314814815        6.80418613649                  4.5         4.7662601626        3.91819160388        4.56257116923       0.126086760709       0.198648648649                    0
                  4187           2020-01-23                    4                    4                  457                  376        442.259287054        13.2816768173                  479                  433        442.967729831        6.87173356865                  4.5        4.61150353179        3.83282364934        4.42861963659       0.128794050773       0.227692307692                    0
                  4188           2020-01-23                    4                    4                  469                  359        453.934805105        14.6618158424                  499                  429        438.125215592         7.4801691773                  4.5        4.73150962513        3.75523012552        4.54230180902       0.138437237422       0.207042253521                    0
                  4189           2020-01-23                    4                    4                  477                  382        462.841543514        11.3547230503                  486                  426        434.204022989        5.61437285028                  4.5         4.7975708502        4.02105263158        4.63729761183       0.109182891059       0.197297297297                    0
                  4191           2020-01-24                    4                    5                  448                  362        434.779648335        11.2380162364                  490                  439        447.274971942        6.10044663667                  4.5        4.51612903226        3.74353671148        4.35417773056       0.108161964679       0.220895522388                    0
                  4192           2020-01-24                    4                    5                  464                  385        450.781404175        11.0348093153                  476                  433        439.815180266        5.66841486262                  4.5        4.66733870968         3.8810483871        4.50896436722       0.105632038281       0.194666666667                    0
                  4193           2020-01-24                    4                    5                  474                  385        463.033707865        10.2539471945                  479                  427        434.429213483        5.09468847843                  4.5        4.78304742684        4.01459854015        4.63150964425      0.0976527140321       0.190789473684                    0
                  4194           2020-01-27                    1                    3                  385                  345        381.225988701        5.80811844246                  506                  470        474.621468927        4.37870967378                  4.5        3.88044579534        3.56037151703        3.82651884264      0.0502935649055                0.294                    0
                  4195           2020-01-27                    1                    3                  418                  345         400.08683068        11.4887341885                  500                  451         463.73154848        6.51644943445                  4.5        4.23076923077        3.52040816327        4.00221170105       0.114081596982       0.185365853659                    0
                  4196           2020-01-27                    1                    3                  443                  356        429.208428246        12.6465377703                  496                  440        449.031131359        6.87797556864                  4.5        4.54640250261        3.65878725591        4.29421603204       0.120988208371       0.208333333333                    0
                  4197           2020-01-27                    1                    3                  448                  366        434.160094173        13.7862786828                  490                  437        447.125367863        7.61562999848                  4.5        4.52235772358        3.71951219512        4.34549894102       0.132228698249        0.20985915493                    0
